Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLU1cYDntAmw1Ti7Tex8oIzPTfJcwWCQuG,UCLuSHhURU35xtFCoEaoSEzA,2017-12-05 08:38:54 UTC,2022-07-04 06:30:37 UTC,Mi musica,,Public

Video Id,Time Added
18L7cZ6yXgU,2021-09-18 19:53:21 UTC
WPmNTYXyGHE,2021-09-02 03:19:06 UTC
QHVt4qixIMU,2021-09-02 01:48:02 UTC
SO-7flJBImM,2020-12-28 16:09:00 UTC
gKOCX5vrazc,2020-12-25 22:46:08 UTC
wojnldBSHzA,2020-12-18 18:13:46 UTC
LQBToBBig78,2020-12-14 05:37:01 UTC
fY1IXtyyRp0,2020-12-12 17:27:24 UTC
kGxOaDdg2kI,2020-12-12 16:43:39 UTC
unlA3tlvubU,2020-12-10 02:41:18 UTC
YRjKlZiGHQI,2020-12-07 07:30:17 UTC
3qK82JvRY5s,2020-12-07 05:52:03 UTC
61rvprZBiIg,2020-12-07 05:03:57 UTC
MTCCu8t8y-I,2020-12-07 03:52:30 UTC
j802Z7PmLQM,2020-12-05 10:50:55 UTC
_NbcDS7AeVA,2020-12-05 04:33:33 UTC
Wl2EA9wpV8o,2020-12-04 21:58:02 UTC
u06fuYE_Kyk,2020-12-04 21:54:58 UTC
p7HJuMH7nS0,2020-12-04 21:37:58 UTC
VteuWD_dIdk,2020-12-04 21:15:43 UTC
Df6w7k33Wus,2020-12-04 21:14:41 UTC
y4PgLEBsOvk,2020-12-02 07:30:52 UTC
pHXyWaXzYZU,2020-12-02 07:30:47 UTC
6t5SwSeccpw,2020-12-02 07:30:43 UTC
40_kUYaP4HE,2020-12-02 07:30:38 UTC
JEnt8N80uWo,2020-12-02 07:30:22 UTC
8GDvPXhCZbk,2020-12-02 07:30:16 UTC
ITbwOXBEk88,2020-12-02 07:30:08 UTC
Hzgmk5UJ8LU,2020-12-02 07:30:01 UTC
 -IvRc5Se2Xo,2020-12-02 07:29:57 UTC
8Oo_Lz0fZTc,2020-12-02 07:29:51 UTC
F-yoGf8xW3s,2020-12-02 07:29:46 UTC
OyOQr_07TuU,2020-12-02 07:29:40 UTC
iHBrqmsrCaY,2020-12-02 07:29:35 UTC
SzteEyQJb1o,2020-12-02 07:29:28 UTC
uozhx1xeTDg,2020-12-02 07:29:16 UTC
sFBcEz3_Zho,2020-12-02 07:29:10 UTC
ulH1J9SqK5s,2020-12-02 07:28:26 UTC
3bNITQR4Uso,2020-12-01 04:39:59 UTC
YHQH5be05YQ,2020-12-01 07:10:00 UTC
MnpWGVtRwmM,2020-12-01 01:03:44 UTC
OUvCvNyI700,2020-11-06 19:39:37 UTC
3iPZdvDGJdg,2020-10-31 08:47:11 UTC
BC2dRkm8ATU,2020-10-31 08:42:30 UTC
kZ2iRHsG3zw,2020-10-31 08:41:33 UTC
d8bd9rtGgL4,2020-10-27 01:41:45 UTC
iZAqaykiS70,2020-10-27 01:04:45 UTC
cYXI344Siew,2020-10-26 23:22:27 UTC
GtmLfBYvriQ,2020-10-25 02:39:25 UTC
miQKwn1l7h0,2020-10-19 03:29:26 UTC
IRqkY6tSzOM,2020-10-19 02:39:34 UTC
OUfnkKBuB0A,2020-10-05 08:31:45 UTC
PmC9FsfUzy0,2020-10-05 04:00:08 UTC
SSbBvKaM6sk,2020-09-13 03:06:14 UTC
HSC9cgvtkRs,2020-09-13 03:05:13 UTC
DtVBCG6ThDk,2020-09-13 03:01:31 UTC
zEmg5GaAHbk,2020-09-13 03:05:07 UTC
z0qW9P-uYfM,2020-09-13 03:02:50 UTC
RZUq6N7Gx1c,2020-09-13 03:03:08 UTC
5aAbOgdbTbM,2020-09-13 03:05:55 UTC
LuN6gs0AJls,2020-09-13 03:05:40 UTC
z-mxBDuRaZ8,2020-09-13 03:05:46 UTC
LWz0JC7afNQ,2020-09-13 03:02:45 UTC
mcMh6GZoFC8,2020-09-13 03:05:48 UTC
g_72RkQV25Y,2020-09-13 02:58:11 UTC
sLm3Khusq_8,2020-09-13 03:05:37 UTC
awNqLO6auQA,2020-09-13 03:03:24 UTC
wo1OwRTRKRk,2020-09-13 02:58:56 UTC
2pqSKlI3QuU,2020-09-17 02:52:45 UTC
dwkwjOd7MCU,2020-09-13 03:04:03 UTC
lX0ws6y7p5g,2020-09-13 03:03:34 UTC
MAGOwTqqgYU,2020-09-13 03:03:16 UTC
tW3J9XnBbqk,2020-09-13 02:58:40 UTC
pFkGvVFdx-o,2020-09-13 02:57:25 UTC
no1vf854aUc,2020-09-13 03:00:04 UTC
Qq7X_vEd_jU,2020-09-13 03:00:10 UTC
xh2Zde8tgt8,2020-09-13 03:01:13 UTC
MlzTET_8SQg,2020-09-13 02:58:28 UTC
UN6tcdiqELk,2018-05-14 11:33:36 UTC
U3-hRlnL6jQ,2020-09-13 02:58:44 UTC
I8FYYCI8MW8,2020-09-13 02:59:51 UTC
 -SjfKXPMHLM,2020-09-13 03:04:23 UTC
Ki5keBCz8DQ,2020-09-13 02:57:32 UTC
2e21NOp69hM,2020-10-01 05:12:49 UTC
