Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLU1cYDntAmw3w3vtqMjVgQED_FzzlSFCh,UCLuSHhURU35xtFCoEaoSEzA,2021-01-20 23:05:43 UTC,2022-06-14 00:29:48 UTC,Top2020,,Public

Video Id,Time Added
0G383538qzQ,2021-01-20 23:12:44 UTC
3OC2aPCuzjo,2021-01-22 01:59:50 UTC
V6YMCjpfH0c,2021-01-20 23:15:27 UTC
e4TFD2PfVPw,2021-01-20 23:13:24 UTC
pFkGvVFdx-o,2021-01-20 23:12:27 UTC
iHCE8SVxbBM,2021-01-20 23:12:10 UTC
R90kVBcVgE8,2021-01-20 23:06:37 UTC
4qLB68zUItI,2021-01-20 23:13:01 UTC
Rgmmo3IfNYQ,2021-07-20 06:42:13 UTC
m2ABEOVoikg,2021-01-20 23:12:38 UTC
VUH-z_SBlj0,2021-01-20 23:05:43 UTC
7x91ZFVt0qI,2021-01-22 01:32:17 UTC
kGxOaDdg2kI,2021-01-20 23:06:05 UTC
R7-v1slmarM,2021-01-20 23:06:12 UTC
vt5j-Vpx8H4,2021-01-20 23:16:22 UTC
p7HJuMH7nS0,2021-01-20 23:11:25 UTC
Df6w7k33Wus,2021-01-20 23:13:19 UTC
wojnldBSHzA,2021-01-20 23:13:06 UTC
ypKz5MPrFpc,2021-01-20 23:12:50 UTC
er9q7YA5WyU,2021-01-20 23:12:02 UTC
Wl2EA9wpV8o,2021-01-20 23:11:09 UTC
unlA3tlvubU,2021-01-20 23:12:54 UTC
_YpZjRYBDGg,2021-01-20 23:13:10 UTC
lahD-KvSDQo,2021-01-20 23:12:33 UTC
OUvCvNyI700,2021-01-20 23:11:52 UTC
23fYycfSO20,2021-01-20 23:13:15 UTC
0L0i6HYJ-EA,2021-01-20 23:11:40 UTC
jqQznao1YXA,2021-01-20 23:12:21 UTC

