Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLU1cYDntAmw1Uvx-iSeJq65YPr7JX2U6r,UCLuSHhURU35xtFCoEaoSEzA,2017-12-05 08:38:26 UTC,2022-08-03 03:39:33 UTC,Watch later,,Private

Video Id,Time Added
Ob3h1jumJFw,2022-06-17 07:22:00 UTC
23McsgR1UNQ,2022-06-17 07:16:30 UTC
F-meJ5aWhDc,2022-06-17 07:16:21 UTC
dFxGRjTRCTU,2022-06-17 07:15:59 UTC
tNqUIrI-LUE,2022-04-01 13:53:15 UTC
cE6p9nr73zk,2021-07-28 00:42:07 UTC
xbJeRXSvojI,2022-04-15 08:30:02 UTC
XDqcYhMdE24,2021-05-23 06:05:08 UTC
GtmLfBYvriQ,2021-04-18 21:25:03 UTC
Ven-pqwk3ec,2021-01-06 14:05:40 UTC
7JNsNb15Dc8,2022-06-16 05:34:50 UTC
fxavwHPJ36o,2020-02-01 06:51:58 UTC
VavXaUb45GA,2020-10-21 06:02:02 UTC
2DCPF3lN5X0,2021-10-10 03:24:46 UTC
RDU6htglrNI,2021-08-15 19:46:34 UTC
OyOQr_07TuU,2020-02-02 03:23:21 UTC
i_uNFtXqp0w,2020-10-21 01:49:07 UTC
x_rhZj6mqW0,2022-06-16 05:34:23 UTC
CcziwUf6C84,2022-04-10 19:44:12 UTC
T2bfgetQois,2022-04-17 05:09:12 UTC
q5lwhhoIKok,2021-10-10 10:00:56 UTC
zJs6buijfvA,2021-05-22 06:43:55 UTC
Mt9FG9YjBMM,2021-01-14 04:28:54 UTC
A7AyanDWB8I,2022-04-15 22:52:55 UTC
3w_InVVk5KU,2022-04-10 19:44:24 UTC
GW9dKV2kGPM,2022-04-18 07:57:00 UTC
aRA0YlsbDm0,2021-08-10 00:54:25 UTC
rNdSaZHU7W4,2020-05-18 08:48:54 UTC
IhfZEjw9roM,2022-04-18 07:56:29 UTC
lgHGU8gqz9U,2022-04-18 05:36:49 UTC
KO42fQP5sm4,2021-09-11 06:54:55 UTC
Cqdv032mFbg,2020-02-22 06:09:31 UTC
ov1yBmsAZtE,2022-04-01 05:59:29 UTC
SVq2yMuAMVQ,2022-02-15 01:40:07 UTC
s1tAYmMjLdY,2020-04-01 08:19:17 UTC
l6d04J0XeOs,2022-06-16 05:34:14 UTC
fYemukpyiVk,2021-10-07 13:33:46 UTC
AMJFXUC4bVc,2021-10-12 20:43:02 UTC

