Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLU1cYDntAmw28eI-ve24DbeJ3rIOeqyTi,UCLuSHhURU35xtFCoEaoSEzA,2020-12-02 07:26:47 UTC,2022-07-31 13:45:30 UTC,rocksteady,,Public

Video Id,Time Added
srK1TlIT82c,2020-12-02 07:26:47 UTC
bjCX6rEH7KI,2020-12-02 07:27:08 UTC
ulH1J9SqK5s,2020-12-02 07:28:25 UTC
sFBcEz3_Zho,2020-12-02 07:29:11 UTC
uozhx1xeTDg,2020-12-02 07:29:16 UTC
rVLyDvQh7k8,2020-12-02 07:27:01 UTC
SzteEyQJb1o,2020-12-02 07:29:28 UTC
iHBrqmsrCaY,2020-12-02 07:29:34 UTC
OyOQr_07TuU,2020-12-02 07:29:40 UTC
F-yoGf8xW3s,2020-12-02 07:29:45 UTC
8Oo_Lz0fZTc,2020-12-02 07:29:51 UTC
 -IvRc5Se2Xo,2020-12-02 07:29:57 UTC
Hzgmk5UJ8LU,2020-12-02 07:30:01 UTC
ITbwOXBEk88,2020-12-02 07:30:07 UTC
8GDvPXhCZbk,2020-12-02 07:30:17 UTC
JEnt8N80uWo,2020-12-02 07:30:22 UTC
40_kUYaP4HE,2020-12-02 07:30:38 UTC
6t5SwSeccpw,2020-12-02 07:30:42 UTC
pHXyWaXzYZU,2020-12-02 07:30:48 UTC
y4PgLEBsOvk,2020-12-02 07:30:52 UTC
Zw7MqRcMmUA,2022-03-26 22:21:26 UTC

