Channel Id,Channel Url,Channel Title
UC--mO_MwJryZfcxeaefzetg,http://www.youtube.com/channel/UC--mO_MwJryZfcxeaefzetg,Oxygene 80
UC-g15Md3wHTgjFma5cafivw,http://www.youtube.com/channel/UC-g15Md3wHTgjFma5cafivw,Yo Soy Fermentista
UC-mkG5Xi4KsY-trIQvLgVAQ,http://www.youtube.com/channel/UC-mkG5Xi4KsY-trIQvLgVAQ,kunkeiro69
UC0DYolAW11dZwcNDydcYHqA,http://www.youtube.com/channel/UC0DYolAW11dZwcNDydcYHqA,Top Classical Music
UC0F_-8h_w8N0eozHlGUzVFw,http://www.youtube.com/channel/UC0F_-8h_w8N0eozHlGUzVFw,Eastman-Rochester Symphony Orchestra - Topic
UC16aF70kysMIJdz51HdMx9Q,http://www.youtube.com/channel/UC16aF70kysMIJdz51HdMx9Q,Silvio Rodríguez
UC1rlBrCpbhOjP6rdnG0Wpnw,http://www.youtube.com/channel/UC1rlBrCpbhOjP6rdnG0Wpnw,Pierreified
UC2GuY-AxnNxIJFAVfEW0QFA,http://www.youtube.com/channel/UC2GuY-AxnNxIJFAVfEW0QFA,APMonitor.com
UC2as7PrmUgmdZAkMIWNY6EQ,http://www.youtube.com/channel/UC2as7PrmUgmdZAkMIWNY6EQ,Parcels
UC3I2GFN_F8WudD_2jUZbojA,http://www.youtube.com/channel/UC3I2GFN_F8WudD_2jUZbojA,KEXP
UC4gPNusMDwx2Xm-YI35AkCA,http://www.youtube.com/channel/UC4gPNusMDwx2Xm-YI35AkCA,U2
UC4hjhbNLcgyzKvzxa4nvhJg,http://www.youtube.com/channel/UC4hjhbNLcgyzKvzxa4nvhJg,Virtual Philharmonic Orchestra - Topic
UC5Oz2fuXlILwEH4P96h2LLg,http://www.youtube.com/channel/UC5Oz2fuXlILwEH4P96h2LLg,The Cliburn
UC63nGmKVdVhiZr_bWhJVGGg,http://www.youtube.com/channel/UC63nGmKVdVhiZr_bWhJVGGg,Ella Fitzgerald
UC7jgpE3sllixozoA4GzVRqQ,http://www.youtube.com/channel/UC7jgpE3sllixozoA4GzVRqQ,OpenMP
UC8YgWcDKi1rLbQ1OtrOHeDw,http://www.youtube.com/channel/UC8YgWcDKi1rLbQ1OtrOHeDw,David Bowie
UC9B6J4qn5M_TLMh7zX0ISBA,http://www.youtube.com/channel/UC9B6J4qn5M_TLMh7zX0ISBA,Brilliant Classics
UC9Q9xlgLw5uVIXW3XZOdwzQ,http://www.youtube.com/channel/UC9Q9xlgLw5uVIXW3XZOdwzQ,Franc Moody
UC9TXm_X_JeVPLZtLEK1S3xA,http://www.youtube.com/channel/UC9TXm_X_JeVPLZtLEK1S3xA,Tech Krowd
UC9qItJ2Gs8Xfu6y_ERKNsxw,http://www.youtube.com/channel/UC9qItJ2Gs8Xfu6y_ERKNsxw,Voices of Music
UCAj0jnQrm28oyEc_gep7UwQ,http://www.youtube.com/channel/UCAj0jnQrm28oyEc_gep7UwQ,Grande Valse Viennoise
UCAmgJPSxkjpzbPWIQHuaHhg,http://www.youtube.com/channel/UCAmgJPSxkjpzbPWIQHuaHhg,Humberto D' Leon
UCB_Z6rBg3WW3NL4-QimhC2A,http://www.youtube.com/channel/UCB_Z6rBg3WW3NL4-QimhC2A,The Rolling Stones
UCDxUt2IJlDlsMB-IoEAb8eQ,http://www.youtube.com/channel/UCDxUt2IJlDlsMB-IoEAb8eQ,Matteo Di pastena
UCE44g2_KEZ9ylEbVGCflGsg,http://www.youtube.com/channel/UCE44g2_KEZ9ylEbVGCflGsg,Vyacheslav Gryaznov
UCFWBQt1w1DTCiFgrGKeWCGw,http://www.youtube.com/channel/UCFWBQt1w1DTCiFgrGKeWCGw,juliancasablancas
UCH6TCcFxQjVHLEwcJ8iXusA,http://www.youtube.com/channel/UCH6TCcFxQjVHLEwcJ8iXusA,Breakbot
UCIKg4QVg91aCWxXWlUkKDLw,http://www.youtube.com/channel/UCIKg4QVg91aCWxXWlUkKDLw,Marco Antonio Solís
UCIrfGZGK17jRplds4LvwY8Q,http://www.youtube.com/channel/UCIrfGZGK17jRplds4LvwY8Q,PakoChile
UCJFS0JTPQjHPVFmoibPSjOg,http://www.youtube.com/channel/UCJFS0JTPQjHPVFmoibPSjOg,Aliks Club
UCJL3h2-wEOB6EigQOBZ3ryg,http://www.youtube.com/channel/UCJL3h2-wEOB6EigQOBZ3ryg,The Black Keys
UCKARN4GSFIOiKUIpCtRlO9g,http://www.youtube.com/channel/UCKARN4GSFIOiKUIpCtRlO9g,My Morning Jacket
UCLXRGxAzeaLDGaOphqapzmg,http://www.youtube.com/channel/UCLXRGxAzeaLDGaOphqapzmg,codigofacilito
UCL_zMdXdM51oSi5XpxTvRtQ,http://www.youtube.com/channel/UCL_zMdXdM51oSi5XpxTvRtQ,The Cure
UCM-CWGUijAC-8idv6k6Fygw,http://www.youtube.com/channel/UCM-CWGUijAC-8idv6k6Fygw,Depeche Mode
UCMMpWgqfjHnmuXjxdMCeB7w,http://www.youtube.com/channel/UCMMpWgqfjHnmuXjxdMCeB7w,Fabrizio Vera
UCMnHk6_QgQT1KQkbUlxhTYw,http://www.youtube.com/channel/UCMnHk6_QgQT1KQkbUlxhTYw,Joy Division
UCNtIrC0ZU-oaIpq0_mQ7_GA,http://www.youtube.com/channel/UCNtIrC0ZU-oaIpq0_mQ7_GA,TRONELAS MUSICA
UCOKPU5skkhcvQRjXVkou10Q,http://www.youtube.com/channel/UCOKPU5skkhcvQRjXVkou10Q,International Piano
UCOjD18EJYcsBog4IozkF_7w,http://www.youtube.com/channel/UCOjD18EJYcsBog4IozkF_7w,PyData
UCOw4v1j3QnzH7X4krQAS7fg,http://www.youtube.com/channel/UCOw4v1j3QnzH7X4krQAS7fg,Tessa Violet
UCPDzzc_du-9hCEFYRZfywhA,http://www.youtube.com/channel/UCPDzzc_du-9hCEFYRZfywhA,VintageMusicFm
UCPOt_reNzgvb_TNXqtzCgpg,http://www.youtube.com/channel/UCPOt_reNzgvb_TNXqtzCgpg,darkstarflashes
UCQ4mN8NcmaayKkEErES5-Sw,http://www.youtube.com/channel/UCQ4mN8NcmaayKkEErES5-Sw,L'Impératrice
UCQ5Ssrs48yJBfOesfDqXUeA,http://www.youtube.com/channel/UCQ5Ssrs48yJBfOesfDqXUeA,Justice
UCQR1koU9Qx2iMXFN5dYKBOQ,http://www.youtube.com/channel/UCQR1koU9Qx2iMXFN5dYKBOQ,細野晴臣
UCQT0M0X4U4VLNDn7sq7DDRQ,http://www.youtube.com/channel/UCQT0M0X4U4VLNDn7sq7DDRQ,Petr Brzobohatý
UCQUFWrwQshjbq3VN0yfm_5Q,http://www.youtube.com/channel/UCQUFWrwQshjbq3VN0yfm_5Q,Polo & Pan
UCR1KDiTxktutWYOvapYs_0w,http://www.youtube.com/channel/UCR1KDiTxktutWYOvapYs_0w,Clifftop Rest
UCRN-a35D8OVsGVCxrJr95VQ,http://www.youtube.com/channel/UCRN-a35D8OVsGVCxrJr95VQ,"TAREYMAG, S.A. www.tareymag.com"
UCSVNq1HgPe6gtHovu10r3Ag,http://www.youtube.com/channel/UCSVNq1HgPe6gtHovu10r3Ag,Antonio
UCTSkkjV2OKH22eb0MzlThGQ,http://www.youtube.com/channel/UCTSkkjV2OKH22eb0MzlThGQ,Stephen Isip
UCUJFj-PXuWLRfFFHA44ZGYw,http://www.youtube.com/channel/UCUJFj-PXuWLRfFFHA44ZGYw,Fluidic Colours
UCUOhIK80Qd3mzjzLAc85ULQ,http://www.youtube.com/channel/UCUOhIK80Qd3mzjzLAc85ULQ,Jay Factor Cafè Channel
